GTDB R95 family	Number of genomes	Number of NCBI families	List of NCBI families
f__D2-FULL-39-29	4	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-57-11	4	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-48-12	4	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-44-17	4	1	f__(o__Burkholderiales) 100.0%
f__01-FULL-45-10b	4	1	f__(o__Burkholderiales) 100.0%
f__XYB1-36-10	4	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-35-15	4	1	f__(o__Burkholderiales) 100.0%
f__GWF2-50-93	4	1	f__(o__Burkholderiales) 100.0%
f__UBA1559	4	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-39-32	4	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-50-16	4	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-66-30	4	1	f__(o__Burkholderiales) 100.0%
f__GWF2-35-48	4	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-35-15	4	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-59-28	4	1	f__(o__Burkholderiales) 100.0%
f__Gp22-AA2	4	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-58-14	4	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-54-18	4	1	f__(o__Burkholderiales) 100.0%
f__UBA11717	4	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-37-114	4	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-53-26	4	1	f__(o__Burkholderiales) 100.0%
f__Thiohalobacteraceae	4	1	f__(o__Burkholderiales) 100.0%
f__UBA7662	4	1	f__(o__Burkholderiales) 100.0%
f__UBA6777	4	1	f__(o__Burkholderiales) 100.0%
f__GCA-002694895	4	1	f__(o__Burkholderiales) 100.0%
f__UBA3637	4	1	f__(o__Burkholderiales) 100.0%
f__UBA3073	4	1	f__(o__Burkholderiales) 100.0%
f__UBA923	4	1	f__Bacteriovoracaceae(o__Bacteriovoracales) 100.0%
f__CG03	4	1	f__(o__Burkholderiales) 100.0%
f__UBA2224	4	1	f__(o__Burkholderiales) 100.0%
f__UBA890	4	1	f__(o__Burkholderiales) 100.0%
f__UBA5352	4	1	f__(o__Burkholderiales) 100.0%
f__UBA6053	4	1	f__(o__Burkholderiales) 100.0%
f__UBA2193	4	1	f__(o__Burkholderiales) 100.0%
f__UBA6624	4	1	f__(o__Burkholderiales) 100.0%
f__GCA-002782225	4	1	f__(o__Burkholderiales) 100.0%
f__UBA3076	4	1	f__(o__Burkholderiales) 100.0%
f__UBA2364	4	1	f__(o__Burkholderiales) 100.0%
f__GCA-002795985	4	1	f__(o__Burkholderiales) 100.0%
f__WMHbin3_A	4	1	f__(o__Burkholderiales) 100.0%
f__PHBI01	4	1	f__(o__Burkholderiales) 100.0%
f__UBA6503	4	1	f__(o__Burkholderiales) 100.0%
f__UBA4877	4	1	f__(o__Burkholderiales) 100.0%
f__UBA6940	4	1	f__(o__Burkholderiales) 100.0%
f__UBA9783	4	1	f__(o__Burkholderiales) 100.0%
f__UBA4085	4	1	f__(o__Burkholderiales) 100.0%
f__UBA4142	4	1	f__(o__Burkholderiales) 100.0%
f__UBA12225	4	1	f__(o__Burkholderiales) 100.0%
f__Lenti-01	4	1	f__(o__Burkholderiales) 100.0%
f__21-64-14	4	1	f__(o__Burkholderiales) 100.0%
f__UBA5704	4	1	f__(o__Burkholderiales) 100.0%
f__GCA-002722245	4	1	f__(o__Burkholderiales) 100.0%
f__Palsa-965	4	1	f__(o__Burkholderiales) 100.0%
f__Zavarziniaceae	4	1	f__Acetobacteraceae(o__Rhodospirillales) 100.0%
f__AV2	4	1	f__(o__Burkholderiales) 100.0%
f__SZUA-79	4	1	f__(o__Burkholderiales) 100.0%
f__Gp7-AA8	4	1	f__(o__Burkholderiales) 100.0%
f__Fen-336	4	1	f__(o__Burkholderiales) 100.0%
f__Gp1-AA112	4	1	f__(o__Burkholderiales) 100.0%
f__Fen-1342	4	1	f__(o__Burkholderiales) 100.0%
f__FEB-12	4	1	f__(o__Burkholderiales) 100.0%
f__UBA11346	4	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1188	4	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__UBA11858	4	1	f__(o__Burkholderiales) 100.0%
f__PWQF01	4	1	f__(o__Burkholderiales) 100.0%
f__B1SED10-159	4	1	f__(o__Burkholderiales) 100.0%
f__UBA9294	4	1	f__(o__Burkholderiales) 100.0%
f__UBA10416	4	1	f__(o__Burkholderiales) 100.0%
f__T1SED10-24	4	1	f__(o__Burkholderiales) 100.0%
f__PWGO01	4	1	f__Syntrophomonadaceae(o__Clostridiales) 100.0%
f__SLND01	4	1	f__(o__Burkholderiales) 100.0%
f__SLMS01	4	1	f__(o__Burkholderiales) 100.0%
f__SXON01	4	1	f__(o__Burkholderiales) 100.0%
f__SXQI01	4	1	f__(o__Burkholderiales) 100.0%
f__AE-B3A	4	1	f__(o__Burkholderiales) 100.0%
f__CR04bin15	4	1	f__Calditrichaceae(o__Calditrichales) 100.0%
f__SLHW01	4	1	f__(o__Burkholderiales) 100.0%
f__SLRQ01	4	1	f__(o__Burkholderiales) 100.0%
f__SLQV01	4	1	f__(o__Burkholderiales) 100.0%
f__Psittacicellaceae	4	1	f__Pasteurellaceae(o__Pasteurellales) 100.0%
f__D37C17	4	1	f__(o__Burkholderiales) 100.0%
f__Rhodothalassiaceae	4	2	f__(o__Burkholderiales) 75.0%, f__Rhodothalassiaceae(o__Rhodothalassiales) 25.0%
f__Kaistiaceae	4	2	f__Rhizobiaceae 75.0%, f__(o__Burkholderiales) 25.0%
f__CACIAM-69d	4	2	f__Pseudanabaenaceae(o__Synechococcales) 75.0%, f__(o__Burkholderiales) 25.0%
f__Sedimentisphaeraceae	4	2	f__Sedimentisphaeraceae 75.0%, f__(o__Burkholderiales) 25.0%
f__NaphS2	4	2	f__Desulfobacteraceae(o__Desulfobacterales) 75.0%, f__(o__Burkholderiales) 25.0%
f__UBA3567	4	2	f__(o__Burkholderiales) 75.0%, f__Clostridiaceae(o__Clostridiales) 25.0%
f__UBA8317	4	2	f__(o__Burkholderiales) 75.0%, f__Rhodobacteraceae 25.0%
f__UBA4651	4	2	f__Catabacteriaceae(o__Clostridiales) 75.0%, f__(o__Burkholderiales) 25.0%
f__UBA2966	4	2	f__(o__Burkholderiales) 75.0%, f__Rhodospirillaceae(o__Rhodospirillales) 25.0%
f__Tenderiaceae	4	2	f__(o__Burkholderiales) 75.0%, f__Chromatiaceae(o__Chromatiales) 25.0%
f__UBA1407	4	2	f__(o__Burkholderiales) 75.0%, f__Lentisphaeraceae(o__Lentisphaerales) 25.0%
f__Ferrovibrionaceae	4	2	f__Rhodospirillaceae(o__Rhodospirillales) 75.0%, f__(o__Burkholderiales) 25.0%
f__UBA7415	4	2	f__(o__Burkholderiales) 75.0%, f__Arenicellaceae(o__Arenicellales) 25.0%
f__UBA6429	4	2	f__(o__Burkholderiales) 75.0%, f__Thioalkalispiraceae(o__Chromatiales) 25.0%
f__RSA9	4	2	f__(o__Burkholderiales) 75.0%, f__Gemmatimonadaceae(o__Gemmatimonadales) 25.0%
f__QAMH01	4	2	f__Coriobacteriaceae 75.0%, f__(o__Burkholderiales) 25.0%
f__Immundisolibacteraceae	4	2	f__(o__Burkholderiales) 75.0%, f__Immundisolibacteraceae 25.0%
f__SM23-32	4	2	f__Candidatus Brocadiaceae(o__Candidatus Brocadiales) 75.0%, f__(o__Burkholderiales) 25.0%
f__PWNQ01	4	2	f__Lentimicrobiaceae 75.0%, f__(o__Burkholderiales) 25.0%
f__Neiellaceae	4	2	f__Psychromonadaceae(o__Alteromonadales) 75.0%, f__(o__Burkholderiales) 25.0%
f__Chloroherpetonaceae	4	2	f__Chlorobiaceae 50.0%, f__Candidatus Thermochlorobacteriaceae 50.0%
f__Zooshikellaceae	4	2	f__Hahellaceae(o__Oceanospirillales) 50.0%, f__Endozoicomonadaceae(o__Oceanospirillales) 50.0%
f__Ancalomicrobiaceae	4	3	f__Hyphomicrobiaceae 50.0%, f__(o__Burkholderiales) 25.0%, f__Ancalomicrobiaceae 25.0%
f__Sporanaerobacteraceae	4	2	f__Tissierellaceae 50.0%, f__(o__Burkholderiales) 50.0%
f__Chamaesiphonaceae	4	3	f__Chamaesiphonaceae(o__Synechococcales) 50.0%, f__Gomontiellaceae(o__Oscillatoriales) 25.0%, f__Merismopediaceae(o__Synechococcales) 25.0%
f__DRI-13	4	2	f__(o__Burkholderiales) 50.0%, f__Peptococcaceae(o__Clostridiales) 50.0%
f__Caedimonadaceae	4	2	f__Caedimonadaceae(o__Holosporales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Lutisporaceae	4	2	f__(o__Burkholderiales) 50.0%, f__Clostridiaceae(o__Clostridiales) 50.0%
f__UBA1062	4	2	f__(o__Burkholderiales) 50.0%, f__Syntrophaceae(o__Syntrophobacterales) 50.0%
f__Geothermobacteraceae	4	3	f__Geobacteraceae 50.0%, f__Desulfuromonadaceae 25.0%, f__(o__Burkholderiales) 25.0%
f__Oceanococcaceae	4	3	f__Ectothiorhodospiraceae(o__Chromatiales) 50.0%, f__(o__Burkholderiales) 25.0%, f__Salinisphaeraceae(o__Salinisphaerales) 25.0%
f__JdFR-88	4	2	f__(o__Burkholderiales) 50.0%, f__Nitrospiraceae(o__Nitrospirales) 50.0%
f__Oligoflexaceae	4	3	f__Pseudobacteriovoracaceae 50.0%, f__Bdellovibrionaceae(o__Bdellovibrionales) 25.0%, f__Oligoflexaceae 25.0%
f__Ahniellaceae	4	3	f__(o__Burkholderiales) 50.0%, f__Rhodanobacteraceae 25.0%, f__Xanthomonadaceae 25.0%
f__WCHB1-27	4	3	f__(o__Burkholderiales) 50.0%, f__Syntrophaceae(o__Syntrophobacterales) 25.0%, f__Syntrophorhabdaceae(o__Syntrophobacterales) 25.0%
f__UBA6156	4	3	f__(o__Burkholderiales) 50.0%, f__Pseudomonadaceae(o__Pseudomonadales) 25.0%, f__Hyphomicrobiaceae(o__Rhizobiales) 25.0%
f__PALSA-1355	4	2	f__Planctomycetaceae(o__Planctomycetales) 50.0%, f__(o__Burkholderiales) 50.0%
f__Geoalkalibacteraceae	3	1	f__Geobacteraceae 100.0%
f__Thermodesulfatatoraceae	3	1	f__Thermodesulfobacteriaceae 100.0%
f__Tepidamorphaceae	3	1	f__Rhodobiaceae 100.0%
f__Salinispiraceae	3	1	f__Spirochaetaceae 100.0%
f__Effusibacillaceae	3	1	f__Alicyclobacillaceae(o__Bacillales) 100.0%
f__Mageeibacillaceae	3	1	f__Hungateiclostridiaceae(o__Clostridiales) 100.0%
f__Chloracidobacteriaceae	3	1	f__(o__Burkholderiales) 100.0%
f__Peptoclostridiaceae	3	1	f__Peptostreptococcaceae(o__Clostridiales) 100.0%
f__Oxobacteraceae	3	1	f__Clostridiaceae 100.0%
f__Aminiphilaceae	3	1	f__Synergistaceae 100.0%
f__Paracaedibacteraceae	3	1	f__Candidatus Paracaedibacteraceae(o__Holosporales) 100.0%
f__Desulfatibacillaceae	3	1	f__Desulfobacteraceae 100.0%
f__Kineococcaceae	3	1	f__Kineosporiaceae(o__Kineosporiales) 100.0%
f__Bacillaceae_K	3	1	f__Bacillaceae 100.0%
f__Acetonemaceae	3	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__Terasakiellaceae	3	1	f__Methylocystaceae(o__Rhizobiales) 100.0%
f__SKK-01	3	1	f__(o__Burkholderiales) 100.0%
f__GWA1-40-21	3	1	f__(o__Burkholderiales) 100.0%
f__UBA12473	3	1	f__(o__Burkholderiales) 100.0%
f__SM1-40	3	1	f__(o__Burkholderiales) 100.0%
f__GWC2-33-13	3	1	f__(o__Burkholderiales) 100.0%
f__Entotheonellaceae	3	1	f__(o__Burkholderiales) 100.0%
f__Desulfonauticaceae	3	1	f__Desulfohalobiaceae 100.0%
f__Paceibacteraceae	3	1	f__(o__Burkholderiales) 100.0%
f__Ga0077523	3	1	f__ 100.0%
f__Caldatribacteriaceae	3	1	f__(o__Burkholderiales) 100.0%
f__DTU014	3	1	f__(o__Burkholderiales) 100.0%
f__SCGC-AAA003-L08	3	1	f__(o__Burkholderiales) 100.0%
f__Hydrogenedentaceae	3	1	f__(o__Burkholderiales) 100.0%
f__DTU029	3	1	f__Halanaerobiaceae 100.0%
f__DTU030	3	1	f__(o__Burkholderiales) 100.0%
f__Moduliflexaceae	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-001735895	3	1	f__(o__Burkholderiales) 100.0%
f__Alkalibacteraceae	3	1	f__Eubacteriaceae(o__Clostridiales) 100.0%
f__PP17-6a	3	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-50-11	3	1	f__(o__Burkholderiales) 100.0%
f__Vampirovibrionaceae	3	1	f__(o__Burkholderiales) 100.0%
f__2-02-FULL-67-57	3	1	f__(o__Burkholderiales) 100.0%
f__RBG-16-39-9b	3	1	f__(o__Burkholderiales) 100.0%
f__YA12-FULL-60-10	3	1	f__(o__Burkholderiales) 100.0%
f__RBG-13-55-18	3	1	f__(o__Burkholderiales) 100.0%
f__UBA8468	3	1	f__(o__Burkholderiales) 100.0%
f__XYA12-FULL-58-9	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9980	3	1	f__(o__Burkholderiales) 100.0%
f__XYB2-FULL-38-15	3	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-39-13	3	1	f__(o__Burkholderiales) 100.0%
f__Chisholmbacteraceae	3	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-56-20	3	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-43-20	3	1	f__(o__Burkholderiales) 100.0%
f__2-01-FULL-39-33	3	1	f__(o__Burkholderiales) 100.0%
f__2-12-FULL-40-10	3	1	f__(o__Burkholderiales) 100.0%
f__GWA2-32-17	3	1	f__(o__Burkholderiales) 100.0%
f__UBA5620	3	1	f__(o__Burkholderiales) 100.0%
f__GWF2-38-335	3	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-40-25	3	1	f__(o__Burkholderiales) 100.0%
f__GWF2-57-35	3	1	f__(o__Burkholderiales) 100.0%
f__CG1-02-64-396	3	1	f__(o__Burkholderiales) 100.0%
f__CG2-30-40-12	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1006	3	1	f__(o__Burkholderiales) 100.0%
f__UBA10806	3	1	f__(o__Burkholderiales) 100.0%
f__Garciellaceae	3	1	f__Eubacteriaceae(o__Clostridiales) 100.0%
f__Marinicellaceae	3	1	f__Alcanivoracaceae(o__Oceanospirillales) 100.0%
f__MVCY01	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-002691585	3	1	f__(o__Burkholderiales) 100.0%
f__UBA3072	3	1	f__(o__Burkholderiales) 100.0%
f__UBA7966	3	1	f__(o__Burkholderiales) 100.0%
f__4484-276	3	1	f__(o__Burkholderiales) 100.0%
f__Dendrosporobacteraceae	3	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__Hydrogenimonadaceae	3	1	f__Hydrogenimonaceae 100.0%
f__GCA-002773005	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-002718395	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1750	3	1	f__Catabacteriaceae(o__Clostridiales) 100.0%
f__UM-FILTER-41-14	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2796	3	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-40-11	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1151	3	1	f__(o__Burkholderiales) 100.0%
f__UBA5760	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2595	3	1	f__(o__Burkholderiales) 100.0%
f__UBA11872	3	1	f__(o__Burkholderiales) 100.0%
f__UBA5272	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9615	3	1	f__(o__Burkholderiales) 100.0%
f__HGW-17	3	1	f__(o__Burkholderiales) 100.0%
f__UBA4744	3	1	f__(o__Burkholderiales) 100.0%
f__UBA3088	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2201	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-002780085	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2778	3	1	f__Methylococcaceae 100.0%
f__UBA2258	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2210	3	1	f__Syntrophaceae(o__Syntrophobacterales) 100.0%
f__GCA-2863065	3	1	f__(o__Burkholderiales) 100.0%
f__UBA6911	3	1	f__(o__Burkholderiales) 100.0%
f__UM-FILTER-39-15	3	1	f__(o__Burkholderiales) 100.0%
f__Fen-727	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1063	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2200	3	1	f__(o__Burkholderiales) 100.0%
f__UBA5755	3	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__UBA1532	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-002724975	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-002770795	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1412	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-2716585	3	1	f__(o__Burkholderiales) 100.0%
f__UBA2294	3	1	f__Desulfuromonadaceae 100.0%
f__GCA-2721815	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1113	3	1	f__(o__Burkholderiales) 100.0%
f__UBA4575	3	1	f__(o__Burkholderiales) 100.0%
f__UBA4068	3	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__UBA5745	3	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__GCA-2709665	3	1	f__(o__Burkholderiales) 100.0%
f__UBA6595	3	1	f__(o__Burkholderiales) 100.0%
f__UBA8131	3	1	f__(o__Burkholderiales) 100.0%
f__UBA6594	3	1	f__(o__Burkholderiales) 100.0%
f__GCA-2748055	3	1	f__(o__Burkholderiales) 100.0%
f__UBA4248	3	1	f__(o__Burkholderiales) 100.0%
f__UBA6262	3	1	f__(o__Burkholderiales) 100.0%
f__UBA1161	3	1	f__(o__Burkholderiales) 100.0%
f__UBA5066	3	1	f__(o__Burkholderiales) 100.0%
f__UBA7937	3	1	f__(o__Burkholderiales) 100.0%
f__BM512	3	1	f__(o__Burkholderiales) 100.0%
f__BMS3Bbin11	3	1	f__(o__Burkholderiales) 100.0%
f__RSA5	3	1	f__(o__Burkholderiales) 100.0%
f__SZUA-254	3	1	f__(o__Burkholderiales) 100.0%
f__Fen-181	3	1	f__(o__Burkholderiales) 100.0%
f__Palsa-948	3	1	f__(o__Burkholderiales) 100.0%
f__UBA11579	3	1	f__(o__Burkholderiales) 100.0%
f__BMS3Abin14	3	1	f__(o__Burkholderiales) 100.0%
f__QAMX01	3	1	f__(o__Burkholderiales) 100.0%
f__Fen-1364	3	1	f__Spirochaetaceae 100.0%
f__SZUA-336	3	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1180	3	1	f__(o__Burkholderiales) 100.0%
f__Palsa-1178	3	1	f__(o__Burkholderiales) 100.0%
f__QAND01	3	1	f__(o__Burkholderiales) 100.0%
f__HR10	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9160	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9506	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9673	3	1	f__(o__Burkholderiales) 100.0%
f__UBA8346	3	1	f__(o__Burkholderiales) 100.0%
f__B68-G9	3	1	f__(o__Burkholderiales) 100.0%
f__Zgenome-0027	3	1	f__(o__Burkholderiales) 100.0%
f__PUPC01	3	1	f__(o__Burkholderiales) 100.0%
f__PWVN01	3	1	f__Syntrophomonadaceae(o__Clostridiales) 100.0%
f__PWKZ01	3	1	f__(o__Burkholderiales) 100.0%
f__B111-G9	3	1	f__(o__Burkholderiales) 100.0%
f__SLGR01	3	1	f__(o__Burkholderiales) 100.0%
f__UBA8401	3	1	f__(o__Burkholderiales) 100.0%
f__UBA9547	3	1	f__(o__Burkholderiales) 100.0%
f__B32-G15	3	1	f__(o__Burkholderiales) 100.0%
f__B26-G2	3	1	f__(o__Burkholderiales) 100.0%
f__NP-7	3	1	f__(o__Burkholderiales) 100.0%
f__F1-60-MAGs149	3	1	f__(o__Burkholderiales) 100.0%
f__F1-12-MAGs170	3	1	f__(o__Burkholderiales) 100.0%
f__AC-67	3	1	f__(o__Burkholderiales) 100.0%
f__E44-bin80	3	1	f__(o__Burkholderiales) 100.0%
f__SMXP01	3	1	f__(o__Burkholderiales) 100.0%
f__SCRA01	3	1	f__(o__Burkholderiales) 100.0%
f__SLCJ01	3	1	f__(o__Burkholderiales) 100.0%
f__SLOV01	3	1	f__(o__Burkholderiales) 100.0%
f__RAOX-1	3	1	f__Paenibacillaceae(o__Bacillales) 100.0%
f__Spirulinaceae	3	2	f__Spirulinaceae(o__Spirulinales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Ardenticatenaceae	3	2	f__Ardenticatenaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Inquilinaceae	3	2	f__Rhodospirillaceae(o__Rhodospirillales) 66.67%, f__Mycobacteriaceae(o__Corynebacteriales) 33.33%
f__Elsteraceae	3	2	f__Rhodospirillaceae(o__Rhodospirillales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Calditrichaceae	3	2	f__Calditrichaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__DTU086	3	2	f__(o__Burkholderiales) 66.67%, f__Peptococcaceae(o__Clostridiales) 33.33%
f__BICA1-8	3	2	f__Peptococcaceae(o__Clostridiales) 66.67%, f__Clostridiaceae(o__Clostridiales) 33.33%
f__MEBICO9517	3	2	f__Rhodothermaceae(o__Bacteroidetes Order II. Incertae sedis) 66.67%, f__(o__Burkholderiales) 33.33%
f__2-02-FULL-58-16	3	2	f__(o__Burkholderiales) 66.67%, f__Rhodospirillaceae 33.33%
f__UBA12481	3	2	f__(o__Burkholderiales) 66.67%, f__Porphyromonadaceae 33.33%
f__UBA9339	3	2	f__(o__Burkholderiales) 66.67%, f__Coxiellaceae(o__Legionellales) 33.33%
f__UBA3561	3	2	f__(o__Burkholderiales) 66.67%, f__Clostridiaceae(o__Clostridiales) 33.33%
f__CG2-30-49-12	3	2	f__(o__Burkholderiales) 66.67%, f__Syntrophaceae(o__Syntrophobacterales) 33.33%
f__UBA11393	3	2	f__(o__Burkholderiales) 66.67%, f__Candidatus Paracaedibacteraceae(o__Holosporales) 33.33%
f__UBA3067	3	2	f__(o__Burkholderiales) 66.67%, f__Moraxellaceae 33.33%
f__UBA2987	3	2	f__(o__Burkholderiales) 66.67%, f__Puniceicoccaceae(o__Puniceicoccales) 33.33%
f__GCA-2701885	3	2	f__Rhodospirillaceae(o__Rhodospirillales) 66.67%, f__(o__Burkholderiales) 33.33%
f__UBA3569	3	2	f__(o__Burkholderiales) 66.67%, f__Clostridiaceae(o__Clostridiales) 33.33%
f__HGW-15	3	2	f__(o__Burkholderiales) 66.67%, f__Desulfobacteraceae(o__Desulfobacterales) 33.33%
f__UBA1321	3	2	f__(o__Burkholderiales) 66.67%, f__Methylacidiphilaceae 33.33%
f__UBA1845	3	2	f__(o__Burkholderiales) 66.67%, f__Phycisphaeraceae(o__Phycisphaerales) 33.33%
f__DTU073	3	2	f__Peptococcaceae(o__Clostridiales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Bacteroidaceae_A	3	2	f__(o__Burkholderiales) 66.67%, f__Bacteroidaceae 33.33%
f__UBA2466	3	2	f__Bdellovibrionaceae(o__Bdellovibrionales) 66.67%, f__(o__Burkholderiales) 33.33%
f__UBA7879	3	2	f__(o__Burkholderiales) 66.67%, f__Holosporaceae(o__Holosporales) 33.33%
f__Sumerlaeaceae	3	2	f__(o__Burkholderiales) 66.67%, f__Candidatus Sumerlaeaceae 33.33%
f__Bin65	3	2	f__Rhodospirillaceae(o__Rhodospirillales) 66.67%, f__Candidatus Paracaedibacteraceae(o__Holosporales) 33.33%
f__Simkaniaceae	3	2	f__(o__Burkholderiales) 66.67%, f__Simkaniaceae 33.33%
f__SZUA-140	3	2	f__(o__Burkholderiales) 66.67%, f__Chromatiaceae(o__Chromatiales) 33.33%
f__GCA-2717185	3	2	f__(o__Burkholderiales) 66.67%, f__Rhodospirillaceae(o__Rhodospirillales) 33.33%
f__UMGS124	3	2	f__Coriobacteriaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Silvanigrellaceae	3	2	f__(o__Burkholderiales) 66.67%, f__Silvanigrellaceae 33.33%
f__UBA8139	3	2	f__(o__Burkholderiales) 66.67%, f__Microthrixaceae 33.33%
f__BM103	3	2	f__(o__Burkholderiales) 66.67%, f__Desulfuromonadaceae 33.33%
f__Thiohalospiraceae	3	2	f__(o__Burkholderiales) 66.67%, f__Ectothiorhodospiraceae(o__Chromatiales) 33.33%
f__UBA6769	3	2	f__Bacillaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Motilibacteraceae	3	2	f__Motilibacteraceae(o__Frankiales) 66.67%, f__(o__Burkholderiales) 33.33%
f__Minwuiaceae	3	2	f__Minwuiaceae 66.67%, f__(o__Burkholderiales) 33.33%
f__Oscillatoriaceae	3	3	f__Microcoleaceae(o__Oscillatoriales) 33.33%, f__Oscillatoriaceae(o__Oscillatoriales) 33.33%, f__(o__Burkholderiales) 33.33%
f__Thermonemataceae	3	3	f__(o__Burkholderiales) 33.33%, f__Thermonemataceae 33.33%, f__Raineyaceae 33.33%
f__Calditerrivibrionaceae	2	1	f__Deferribacteraceae 100.0%
f__Spirochaetaceae_A	2	1	f__Spirochaetaceae(o__Spirochaetales) 100.0%
f__Anaeromusaceae	2	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__Caldanaerobiaceae	2	1	f__Thermoanaerobacteraceae(o__Thermoanaerobacterales) 100.0%
f__ZOR0009	2	1	f__Rikenellaceae 100.0%
f__Sediminispirochaetaceae	2	1	f__Spirochaetaceae 100.0%
f__Desulforegulaceae	2	1	f__Desulfobacteraceae 100.0%
f__Desulfosudaceae	2	1	f__Desulfobacteraceae 100.0%
f__Nitratiruptoraceae	2	1	f__(o__Burkholderiales) 100.0%
f__Thermincolaceae	2	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Caldalkalibacillaceae	2	1	f__Bacillaceae(o__Bacillales) 100.0%
f__Arcanobacteraceae	2	1	f__(o__Burkholderiales) 100.0%
f__Desulfitibacteraceae	2	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__Mucispirillaceae	2	1	f__Deferribacteraceae 100.0%
f__Marinithermaceae	2	1	f__Thermaceae(o__Thermales) 100.0%
f__Flexistipitaceae	2	1	f__Deferribacteraceae 100.0%
f__Hepatobacteraceae	2	1	f__(o__Burkholderiales) 100.0%
f__Propionisporaceae	2	1	f__Sporomusaceae(o__Selenomonadales) 100.0%
f__Thiohalorhabdaceae	2	1	f__(o__Burkholderiales) 100.0%
f__Kyrpidiaceae	2	1	f__Alicyclobacillaceae(o__Bacillales) 100.0%
f__Desulfofarciminaceae	2	1	f__Peptococcaceae(o__Clostridiales) 100.0%
f__SM23-62	2	1	f__Bacteroidaceae 100.0%
f__UBA12445	2	1	f__(o__Burkholderiales) 100.0%
f__SM1-73	2	1	f__(o__Burkholderiales) 100.0%
f__CSP1-5	2	1	f__(o__Burkholderiales) 100.0%
f__CSP1-2	2	1	f__(o__Burkholderiales) 100.0%
f__UBA10146	2	1	f__(o__Burkholderiales) 100.0%
f__GWB1-45-9	2	1	f__(o__Burkholderiales) 100.0%
f__HLUCCA01	2	1	f__(o__Burkholderiales) 100.0%
f__HR35	2	1	f__(o__Burkholderiales) 100.0%
f__OLB20	2	1	f__(o__Burkholderiales) 100.0%
f__UBA12157	2	1	f__(o__Burkholderiales) 100.0%
f__RBG-1	2	1	f__(o__Burkholderiales) 100.0%
