GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Epibacterium mobile	51	2	s__Epibacterium mobile 96.08%, s__(g__Flavobacterium) 3.92%
s__Agathobacter rectalis	51	3	s__[Eubacterium] rectale 84.31%, s__(g__Flavobacterium) 13.73%, s__Eubacterium rectale 1.96%
s__Streptococcus salivarius	51	3	s__Streptococcus salivarius 78.43%, s__(g__Flavobacterium) 19.61%, s__Streptococcus pneumoniae 1.96%
s__Bacillus safensis	51	4	s__Bacillus safensis 70.59%, s__(g__Flavobacterium) 19.61%, s__Bacillus pumilus 5.88%, s__Bacillus stratosphericus 3.92%
s__Pseudomonas_E sp002966775	51	6	s__(g__Flavobacterium) 45.1%, s__Pseudomonas fluorescens 41.18%, s__Pseudomonas lactis 7.84%, s__Pseudomonas koreensis 1.96%, s__Pseudomonas cedrina 1.96%, s__Pseudomonas azotoformans 1.96%
s__Streptococcus sanguinis	50	3	s__Streptococcus sanguinis 96.0%, s__(g__Flavobacterium) 2.0%, s__Streptococcus salivarius 2.0%
s__Ralstonia pseudosolanacearum	50	2	s__Ralstonia solanacearum 90.0%, s__Ralstonia pseudosolanacearum 10.0%
s__Macrococcus_B caseolyticus	50	3	s__Macrococcus caseolyticus 88.0%, s__(g__Flavobacterium) 10.0%, s__Micrococcus lylae 2.0%
s__Streptococcus pseudopneumoniae	50	2	s__Streptococcus pseudopneumoniae 84.0%, s__Streptococcus pneumoniae 16.0%
s__Enterococcus_D casseliflavus	49	2	s__Enterococcus casseliflavus 83.67%, s__(g__Flavobacterium) 16.33%
s__Escherichia marmotae	49	3	s__(g__Flavobacterium) 63.27%, s__Escherichia marmotae 30.61%, s__Escherichia coli 6.12%
s__Mycobacterium intracellulare	49	4	s__Mycobacterium intracellulare 46.94%, s__Mycobacterium chimaera 42.86%, s__(g__Flavobacterium) 6.12%, s__Mycobacterium paraintracellulare 4.08%
s__Pseudomonas_A stutzeri_AG	48	3	s__Pseudomonas stutzeri 83.33%, s__(g__Flavobacterium) 14.58%, s__Pseudomonas xanthomarina 2.08%
s__Vibrio alginolyticus	48	4	s__Vibrio alginolyticus 81.25%, s__(g__Flavobacterium) 14.58%, s__Vibrio parahaemolyticus 2.08%, s__Vibrio neocaledonicus 2.08%
s__Pectobacterium carotovorum	48	3	s__Pectobacterium carotovorum 77.08%, s__(g__Flavobacterium) 12.5%, s__Candidatus Pectobacterium maceratum 10.42%
s__Pseudomonas_E protegens	48	3	s__Pseudomonas protegens 60.42%, s__(g__Flavobacterium) 29.17%, s__Pseudomonas fluorescens 10.42%
s__Latilactobacillus sakei	47	1	s__Lactobacillus sakei 100.0%
s__Escherichia coli_C	47	2	s__Escherichia coli 74.47%, s__(g__Flavobacterium) 25.53%
s__Streptomyces rimosus	47	8	s__Streptomyces rimosus 68.09%, s__(g__Flavobacterium) 14.89%, s__Streptomyces capuensis 4.26%, s__Streptomyces lavendulae 4.26%, s__Streptomyces peucetius 2.13%, s__Streptomyces griseoflavus 2.13%, s__Kitasatospora aureofaciens 2.13%, s__Streptomyces albus 2.13%
s__Enterobacter ludwigii	47	3	s__Enterobacter ludwigii 57.45%, s__Enterobacter cloacae 29.79%, s__(g__Flavobacterium) 12.77%
s__Campylobacter_D coli_B	46	1	s__Campylobacter coli 100.0%
s__Micromonospora arenicola	45	1	s__Salinispora arenicola 100.0%
s__Leptospira borgpetersenii	45	2	s__Leptospira borgpetersenii 97.78%, s__(g__Flavobacterium) 2.22%
s__Pantoea agglomerans	45	5	s__Pantoea agglomerans 84.44%, s__Pantoea vagans 6.67%, s__(g__Flavobacterium) 4.44%, s__[Curtobacterium] plantarum 2.22%, s__Pantoea allii 2.22%
s__Bifidobacterium vaginale	44	1	s__Gardnerella vaginalis 100.0%
s__Mesorhizobium sp006442685	44	1	s__(g__Flavobacterium) 100.0%
s__Thermus scotoductus	44	2	s__Thermus scotoductus 97.73%, s__(g__Flavobacterium) 2.27%
s__Streptococcus anginosus	44	3	s__Streptococcus anginosus 72.73%, s__(g__Flavobacterium) 25.0%, s__Streptococcus intermedius 2.27%
s__Bacillus pumilus	44	2	s__Bacillus pumilus 63.64%, s__(g__Flavobacterium) 36.36%
s__Serratia ureilytica	44	4	s__Serratia marcescens 54.55%, s__(g__Flavobacterium) 38.64%, s__Serratia ureilytica 4.55%, s__Serratia nematodiphila 2.27%
s__Lactobacillus johnsonii	43	2	s__Lactobacillus johnsonii 97.67%, s__(g__Flavobacterium) 2.33%
s__Staphylococcus warneri	43	6	s__Staphylococcus warneri 81.4%, s__(g__Flavobacterium) 6.98%, s__Staphylococcus pasteuri 4.65%, s__Streptococcus pneumoniae 2.33%, s__Staphylococcus epidermidis 2.33%, s__Sulfitobacter donghicola 2.33%
s__Enterobacter bugandensis	43	3	s__Enterobacter bugandensis 76.74%, s__Enterobacter cloacae 13.95%, s__(g__Flavobacterium) 9.3%
s__Clostridium_G tetani	42	1	s__Clostridium tetani 100.0%
s__Fusobacterium_C necrophorum	42	1	s__Fusobacterium necrophorum 100.0%
s__Alcanivorax sp002354605	42	1	s__(g__Flavobacterium) 100.0%
s__Rhizobium sp900469175	42	1	s__(g__Flavobacterium) 100.0%
s__UBA2013 sp003489145	42	1	s__(g__Flavobacterium) 100.0%
s__Sinorhizobium medicae	42	2	s__Sinorhizobium medicae 97.62%, s__Sinorhizobium meliloti 2.38%
s__Leptospira santarosai	42	2	s__Leptospira santarosai 95.24%, s__(g__Flavobacterium) 4.76%
s__Corynebacterium glutamicum	42	3	s__Corynebacterium glutamicum 90.48%, s__Corynebacterium crenatum 4.76%, s__[Brevibacterium] flavum 4.76%
s__Ruminococcus_B gnavus	42	2	s__[Ruminococcus] gnavus 90.48%, s__(g__Flavobacterium) 9.52%
s__Propionibacterium freudenreichii	41	2	s__Propionibacterium freudenreichii 97.56%, s__(g__Flavobacterium) 2.44%
s__Rhodococcus hoagii	41	2	s__Rhodococcus hoagii 97.56%, s__(g__Flavobacterium) 2.44%
s__Alteromonas macleodii	41	2	s__Alteromonas macleodii 75.61%, s__(g__Flavobacterium) 24.39%
s__Phocaeicola dorei	41	3	s__Bacteroides dorei 65.85%, s__(g__Flavobacterium) 31.71%, s__Bacteroides vulgatus 2.44%
s__Rhizobium leguminosarum_L	40	1	s__Rhizobium leguminosarum 100.0%
s__Legionella fraseri	40	1	s__Legionella pneumophila 100.0%
s__Erysipelatoclostridium sp000752095	40	2	s__(g__Flavobacterium) 97.5%, s__Clostridium sporogenes 2.5%
s__Pseudomonas aeruginosa_A	40	2	s__Pseudomonas aeruginosa 97.5%, s__Streptococcus dysgalactiae 2.5%
s__Burkholderia cenocepacia_B	40	2	s__Burkholderia cenocepacia 97.5%, s__(g__Flavobacterium) 2.5%
s__Bacteroides thetaiotaomicron	40	2	s__Bacteroides thetaiotaomicron 92.5%, s__(g__Flavobacterium) 7.5%
s__Staphylococcus equorum	40	3	s__Staphylococcus equorum 92.5%, s__(g__Flavobacterium) 5.0%, s__Staphylococcus piscifermentans 2.5%
s__Enterococcus_B durans	40	2	s__Enterococcus durans 90.0%, s__(g__Flavobacterium) 10.0%
s__Mediterraneibacter faecis	40	3	s__(g__Flavobacterium) 87.5%, s__[Ruminococcus] torques 10.0%, s__Ruminococcus faecis 2.5%
s__Mesorhizobium sp000502715	39	1	s__(g__Flavobacterium) 100.0%
s__Sphingobacterium multivorum	39	2	s__(g__Flavobacterium) 94.87%, s__Sphingobacterium multivorum 5.13%
s__Rhodococcus qingshengii	39	6	s__(g__Flavobacterium) 35.9%, s__Rhodococcus erythropolis 25.64%, s__Rhodococcus qingshengii 25.64%, s__Rhodococcus enclensis 7.69%, s__Rhodococcus baikonurensis 2.56%, s__Rhodococcus hoagii 2.56%
s__Citrobacter_B koseri	38	3	s__Citrobacter koseri 92.11%, s__(g__Flavobacterium) 5.26%, s__Klebsiella pneumoniae 2.63%
s__Pseudomonas_E asiatica	38	7	s__(g__Flavobacterium) 28.95%, s__Pseudomonas plecoglossicida 23.68%, s__Pseudomonas asiatica 21.05%, s__Pseudomonas putida 15.79%, s__Pseudomonas monteilii 5.26%, s__Pseudomonas taiwanensis 2.63%, s__Pseudomonas shirazica 2.63%
s__Campylobacter sp002139915	37	2	s__(g__Flavobacterium) 97.3%, s__Campylobacter lanienae 2.7%
s__Helicobacter pylori_A	36	1	s__Helicobacter pylori 100.0%
s__Hyphomonas sp000682775	36	1	s__(g__Flavobacterium) 100.0%
s__Escherichia sp005843885	36	2	s__(g__Flavobacterium) 97.22%, s__Escherichia coli 2.78%
s__Mesorhizobium ciceri	36	2	s__(g__Flavobacterium) 88.89%, s__Mesorhizobium ciceri 11.11%
s__Pseudomonas_E cerasi	36	3	s__Pseudomonas syringae 83.33%, s__(g__Flavobacterium) 11.11%, s__Pseudomonas cerasi 5.56%
s__Enterobacter sesami	36	5	s__Enterobacter asburiae 75.0%, s__(g__Flavobacterium) 13.89%, s__Enterobacter cloacae 5.56%, s__Pantoea sesami 2.78%, s__Enterobacter hormaechei 2.78%
s__Mycobacterium marinum	36	5	s__Mycobacterium marinum 69.44%, s__Mycobacterium ulcerans 19.44%, s__Mycobacterium pseudoshottsii 5.56%, s__Mycobacterium liflandii 2.78%, s__(g__Flavobacterium) 2.78%
s__Burkholderia contaminans	36	3	s__Burkholderia contaminans 50.0%, s__(g__Flavobacterium) 47.22%, s__Burkholderia lata 2.78%
s__Bacillus paralicheniformis	35	3	s__Bacillus paralicheniformis 77.14%, s__(g__Flavobacterium) 14.29%, s__Bacillus licheniformis 8.57%
s__Campylobacter hyointestinalis	35	2	s__Campylobacter hyointestinalis 62.86%, s__Campylobacter fetus 37.14%
s__Helicobacter_C cinaedi	34	1	s__Helicobacter cinaedi 100.0%
s__Pectobacterium brasiliense	34	1	s__Pectobacterium carotovorum 100.0%
s__Rhizobium leguminosarum_E	34	1	s__Rhizobium leguminosarum 100.0%
s__Leptospira kirschneri	34	2	s__Leptospira kirschneri 97.06%, s__(g__Flavobacterium) 2.94%
s__Ruminococcus_D bicirculans	34	2	s__(g__Flavobacterium) 94.12%, s__Ruminococcus bicirculans 5.88%
s__Microcystis panniformis	34	3	s__Microcystis aeruginosa 70.59%, s__Microcystis panniformis 23.53%, s__(g__Flavobacterium) 5.88%
s__Rhodococcus fascians	34	2	s__Rhodococcus fascians 52.94%, s__(g__Flavobacterium) 47.06%
s__Acinetobacter junii	33	2	s__Acinetobacter junii 96.97%, s__(g__Flavobacterium) 3.03%
s__Vibrio harveyi	33	2	s__Vibrio harveyi 96.97%, s__(g__Flavobacterium) 3.03%
s__Acinetobacter indicus	33	2	s__Acinetobacter indicus 96.97%, s__(g__Flavobacterium) 3.03%
s__Raoultella planticola	33	4	s__Raoultella planticola 84.85%, s__Raoultella ornithinolytica 9.09%, s__Klebsiella oxytoca 3.03%, s__(g__Flavobacterium) 3.03%
s__Streptococcus oralis	33	2	s__Streptococcus oralis 72.73%, s__(g__Flavobacterium) 27.27%
s__Campylobacter_A concisus_T	32	1	s__Campylobacter concisus 100.0%
s__Mesorhizobium sp003996995	32	1	s__(g__Flavobacterium) 100.0%
s__Vibrio campbellii	32	2	s__Vibrio campbellii 96.88%, s__Vibrio harveyi 3.12%
s__Bacillus atrophaeus	32	2	s__Bacillus atrophaeus 96.88%, s__Bacillus subtilis 3.12%
s__Eggerthella lenta	32	2	s__Eggerthella lenta 93.75%, s__(g__Flavobacterium) 6.25%
s__Acinetobacter ursingii	32	2	s__Acinetobacter ursingii 87.5%, s__(g__Flavobacterium) 12.5%
s__Clostridium butyricum	32	3	s__Clostridium butyricum 78.12%, s__(g__Flavobacterium) 18.75%, s__Clostridium perfringens 3.12%
s__Ochrobactrum intermedium	32	2	s__(g__Flavobacterium) 68.75%, s__Ochrobactrum intermedium 31.25%
s__Aeromonas dhakensis	32	5	s__Aeromonas dhakensis 65.62%, s__Aeromonas hydrophila 21.88%, s__(g__Flavobacterium) 6.25%, s__Aeromonas jandaei 3.12%, s__Aeromonas enteropelogenes 3.12%
s__Ruminococcus_E bromii_B	32	2	s__(g__Flavobacterium) 62.5%, s__Ruminococcus bromii 37.5%
s__Citrobacter portucalensis	32	6	s__Citrobacter portucalensis 40.62%, s__Citrobacter freundii 31.25%, s__(g__Flavobacterium) 18.75%, s__Enterobacter cloacae 3.12%, s__Citrobacter youngae 3.12%, s__Escherichia coli 3.12%
s__Haemophilus_B ducreyi	31	1	s__[Haemophilus] ducreyi 100.0%
s__Collinsella sp002232035	31	1	s__(g__Flavobacterium) 100.0%
s__Stenotrophomonas maltophilia_F	31	2	s__Stenotrophomonas maltophilia 96.77%, s__(g__Flavobacterium) 3.23%
s__Paenibacillus odorifer	31	2	s__Paenibacillus odorifer 96.77%, s__(g__Flavobacterium) 3.23%
s__Fischerella thermalis	31	3	s__Fischerella thermalis 93.55%, s__(g__Flavobacterium) 3.23%, s__Fischerella major 3.23%
s__Actinobacillus lignieresii	31	2	s__Actinobacillus pleuropneumoniae 90.32%, s__Actinobacillus lignieresii 9.68%
s__Empedobacter falsenii	31	2	s__(g__Flavobacterium) 87.1%, s__Empedobacter falsenii 12.9%
s__Acinetobacter johnsonii	31	3	s__Acinetobacter johnsonii 80.65%, s__(g__Flavobacterium) 16.13%, s__Acinetobacter lwoffii 3.23%
s__Enterococcus_D gallinarum	31	3	s__Enterococcus gallinarum 80.65%, s__(g__Flavobacterium) 12.9%, s__Enterococcus saccharolyticus 6.45%
s__Pseudomonas_E fulva	31	3	s__(g__Flavobacterium) 67.74%, s__Pseudomonas fulva 29.03%, s__Pseudomonas putida 3.23%
s__Streptococcus anginosus_C	31	4	s__Streptococcus anginosus 64.52%, s__(g__Flavobacterium) 29.03%, s__Streptococcus viridans 3.23%, s__Streptococcus milleri 3.23%
s__Campylobacter_A concisus_C	30	1	s__Campylobacter concisus 100.0%
s__Curtobacterium flaccumfaciens	30	2	s__(g__Flavobacterium) 96.67%, s__Curtobacterium flaccumfaciens 3.33%
s__Serratia marcescens	30	2	s__Serratia marcescens 93.33%, s__(g__Flavobacterium) 6.67%
s__Staphylococcus cohnii	30	3	s__Staphylococcus cohnii 93.33%, s__Staphylococcus saprophyticus 3.33%, s__(g__Flavobacterium) 3.33%
s__Blautia_A obeum	30	3	s__Blautia obeum 93.33%, s__Ruminococcus obeum 3.33%, s__(g__Flavobacterium) 3.33%
s__Parabacteroides merdae	30	2	s__Parabacteroides merdae 93.33%, s__(g__Flavobacterium) 6.67%
s__Streptococcus equinus	30	3	s__Streptococcus equinus 90.0%, s__(g__Flavobacterium) 6.67%, s__Streptococcus gallolyticus 3.33%
s__Dorea formicigenerans	30	2	s__Dorea formicigenerans 90.0%, s__(g__Flavobacterium) 10.0%
s__Fusicatenibacter saccharivorans	30	2	s__(g__Flavobacterium) 90.0%, s__Fusicatenibacter saccharivorans 10.0%
s__Pseudomonas_E mandelii	30	2	s__(g__Flavobacterium) 90.0%, s__Pseudomonas mandelii 10.0%
s__Stenotrophomonas maltophilia_A	30	3	s__Stenotrophomonas maltophilia 86.67%, s__(g__Flavobacterium) 10.0%, s__[Pseudomonas] geniculata 3.33%
s__Phyllobacterium sp900472835	29	1	s__(g__Flavobacterium) 100.0%
s__Methylopumilus universalis	29	1	s__Candidatus Methylopumilus universalis 100.0%
s__Corynebacterium striatum	29	2	s__Corynebacterium striatum 93.1%, s__(g__Flavobacterium) 6.9%
s__Rhizobium alamii	29	2	s__(g__Flavobacterium) 93.1%, s__Rhizobium alamii 6.9%
s__Prochlorococcus_A pastoris	29	2	s__(g__Flavobacterium) 93.1%, s__Prochlorococcus marinus 6.9%
s__Stenotrophomonas geniculata	29	3	s__Stenotrophomonas maltophilia 86.21%, s__[Pseudomonas] geniculata 10.34%, s__(g__Flavobacterium) 3.45%
s__Streptococcus parasanguinis_B	29	2	s__Streptococcus parasanguinis 72.41%, s__(g__Flavobacterium) 27.59%
s__Bacteroides xylanisolvens	29	2	s__Bacteroides xylanisolvens 72.41%, s__(g__Flavobacterium) 27.59%
s__Pseudomonas_E monteilii	29	3	s__(g__Flavobacterium) 68.97%, s__Pseudomonas monteilii 24.14%, s__Pseudomonas putida 6.9%
s__Bifidobacterium infantis	28	1	s__Bifidobacterium longum 100.0%
s__RAAP-2 sp003138815	28	1	s__(g__Flavobacterium) 100.0%
s__Haemophilus haemolyticus	28	2	s__Haemophilus haemolyticus 96.43%, s__(g__Flavobacterium) 3.57%
s__Piscirickettsia salmonis	28	2	s__Piscirickettsia salmonis 96.43%, s__(g__Flavobacterium) 3.57%
s__Agrobacterium sp900473305	28	3	s__(g__Flavobacterium) 92.86%, s__Agrobacterium tumefaciens 3.57%, s__Agrobacterium rhizogenes 3.57%
s__Sharpea azabuensis	28	2	s__(g__Flavobacterium) 85.71%, s__Sharpea azabuensis 14.29%
s__Alteromonas australica	28	2	s__Alteromonas australica 82.14%, s__(g__Flavobacterium) 17.86%
s__Pseudoalteromonas agarivorans	28	4	s__(g__Flavobacterium) 78.57%, s__Pseudoalteromonas agarivorans 14.29%, s__Pseudoalteromonas atlantica 3.57%, s__Pseudoalteromonas telluritireducens 3.57%
s__Pseudomonas_A kunmingensis	28	4	s__Pseudomonas stutzeri 42.86%, s__Pseudomonas kunmingensis 39.29%, s__Pseudomonas xanthomarina 10.71%, s__(g__Flavobacterium) 7.14%
s__Enterococcus_E cecorum	27	1	s__Enterococcus cecorum 100.0%
s__Limosilactobacillus reuteri_D	27	1	s__Lactobacillus reuteri 100.0%
s__RAAP-2 sp003155915	27	1	s__(g__Flavobacterium) 100.0%
s__Fen-455 sp003140595	27	1	s__(g__Flavobacterium) 100.0%
s__Photobacterium angustum	27	2	s__Photobacterium angustum 96.3%, s__Photobacterium damselae 3.7%
s__Leuconostoc pseudomesenteroides	27	2	s__Leuconostoc pseudomesenteroides 92.59%, s__(g__Flavobacterium) 7.41%
s__Lonsdalea populi	27	2	s__Lonsdalea populi 92.59%, s__Lonsdalea quercina 7.41%
s__Bacillus_A mobilis	27	3	s__Bacillus cereus 88.89%, s__Bacillus mobilis 7.41%, s__Bacillus wiedmannii 3.7%
s__Wolbachia sp000008025	27	2	s__(g__Flavobacterium) 88.89%, s__Wolbachia pipientis 11.11%
s__Clostridium_J sulfidigenes	27	2	s__(g__Flavobacterium) 85.19%, s__Clostridium sulfidigenes 14.81%
s__Prevotella copri	27	2	s__Prevotella copri 77.78%, s__(g__Flavobacterium) 22.22%
s__Ensifer adhaerens	27	3	s__(g__Flavobacterium) 77.78%, s__Ensifer adhaerens 18.52%, s__Sinorhizobium meliloti 3.7%
s__Bacillus marinus	27	4	s__Bacillus subtilis 66.67%, s__Bacillus intestinalis 25.93%, s__(g__Flavobacterium) 3.7%, s__Jeotgalibacillus marinus 3.7%
s__Bifidobacterium vaginale_G	27	3	s__Gardnerella vaginalis 59.26%, s__(g__Flavobacterium) 37.04%, s__Peptoniphilus lacrimalis 3.7%
s__Rhizobium rhizogenes	27	3	s__(g__Flavobacterium) 55.56%, s__Agrobacterium rhizogenes 40.74%, s__Agrobacterium tumefaciens 3.7%
s__Rhodococcus erythropolis	27	4	s__Rhodococcus erythropolis 55.56%, s__(g__Flavobacterium) 37.04%, s__Rhodococcus rhodochrous 3.7%, s__Rhodococcus opacus 3.7%
s__Lysinibacillus fusiformis	27	3	s__Lysinibacillus fusiformis 55.56%, s__(g__Flavobacterium) 37.04%, s__Lysinibacillus sphaericus 7.41%
s__Pseudomonas_E chlororaphis	27	2	s__Pseudomonas chlororaphis 55.56%, s__(g__Flavobacterium) 44.44%
s__Enterococcus_D sp002850555	27	5	s__(g__Flavobacterium) 44.44%, s__Enterococcus casseliflavus 25.93%, s__Enterococcus gallinarum 18.52%, s__Enterococcus faecium 7.41%, s__Enterococcus faecalis 3.7%
s__Streptomyces californicus	27	7	s__(g__Flavobacterium) 40.74%, s__Streptomyces griseus 22.22%, s__Streptomyces puniceus 18.52%, s__Streptomyces purpeochromogenes 7.41%, s__Streptomyces vinaceus 3.7%, s__Streptomyces brasiliensis 3.7%, s__Streptomyces violaceoruber 3.7%
s__Mycoplasma capri	26	1	s__Mycoplasma mycoides 100.0%
s__D2472 sp002358345	26	1	s__(g__Flavobacterium) 100.0%
s__Balneola sp002364085	26	1	s__(g__Flavobacterium) 100.0%
s__Burkholderia gladioli	26	2	s__Burkholderia gladioli 96.15%, s__(g__Flavobacterium) 3.85%
s__Staphylococcus agnetis	26	2	s__Staphylococcus agnetis 96.15%, s__Staphylococcus aureus 3.85%
s__Borreliella garinii	26	2	s__Borreliella garinii 92.31%, s__Borreliella bavariensis 7.69%
s__Bifidobacterium sp002884815	26	3	s__Gardnerella vaginalis 84.62%, s__(g__Flavobacterium) 11.54%, s__Peptoniphilus lacrimalis 3.85%
s__Hafnia paralvei	26	3	s__Hafnia paralvei 84.62%, s__(g__Flavobacterium) 11.54%, s__Hafnia alvei 3.85%
s__Clostridium beijerinckii	26	3	s__Clostridium beijerinckii 80.77%, s__Clostridium diolis 11.54%, s__(g__Flavobacterium) 7.69%
s__Ochrobactrum_A pseudogrignonense	26	3	s__(g__Flavobacterium) 76.92%, s__Ochrobactrum pseudogrignonense 19.23%, s__Ochrobactrum pituitosum 3.85%
s__Corynebacterium amycolatum	26	3	s__(g__Flavobacterium) 65.38%, s__Corynebacterium jeikeium 19.23%, s__Corynebacterium amycolatum 15.38%
s__Sphingobium yanoikuyae	26	2	s__Sphingobium yanoikuyae 65.38%, s__(g__Flavobacterium) 34.62%
s__Stenotrophomonas indicatrix	26	4	s__Stenotrophomonas maltophilia 50.0%, s__(g__Flavobacterium) 30.77%, s__Stenotrophomonas indicatrix 15.38%, s__Xanthomonas retroflexus 3.85%
s__Geobacillus thermoleovorans	26	6	s__(g__Flavobacterium) 42.31%, s__Geobacillus thermoleovorans 30.77%, s__Geobacillus kaustophilus 15.38%, s__Geobacillus stearothermophilus 3.85%, s__[Bacillus] caldolyticus 3.85%, s__Anoxybacillus amylolyticus 3.85%
s__Lentilactobacillus parabuchneri	25	1	s__Lactobacillus parabuchneri 100.0%
s__CAG-873 sp002478045	25	1	s__(g__Flavobacterium) 100.0%
s__Corynebacterium ulcerans	25	2	s__Corynebacterium ulcerans 96.0%, s__Pseudomonas aeruginosa 4.0%
s__Weissella cibaria	25	2	s__Weissella cibaria 96.0%, s__(g__Flavobacterium) 4.0%
s__Mycobacterium fortuitum	25	2	s__Mycolicibacterium fortuitum 96.0%, s__(g__Flavobacterium) 4.0%
s__Pseudomonas_D aestusnigri	25	2	s__(g__Flavobacterium) 92.0%, s__Pseudomonas aestusnigri 8.0%
s__Fusobacterium animalis	25	2	s__Fusobacterium nucleatum 88.0%, s__(g__Flavobacterium) 12.0%
s__Rhizobium phaseoli	25	3	s__Rhizobium phaseoli 88.0%, s__Rhizobium etli 8.0%, s__Rhizobium leguminosarum 4.0%
s__Fusobacterium polymorphum	25	3	s__Fusobacterium nucleatum 80.0%, s__(g__Flavobacterium) 16.0%, s__Fusobacterium periodonticum 4.0%
s__Pseudoalteromonas tetraodonis	25	4	s__(g__Flavobacterium) 76.0%, s__Pseudoalteromonas issachenkonii 12.0%, s__Pseudoalteromonas tetraodonis 8.0%, s__Pseudoalteromonas spiralis 4.0%
s__Clostridium_F sporogenes	25	2	s__Clostridium sporogenes 76.0%, s__Clostridium botulinum 24.0%
s__Pseudomonas_E sp005233515	25	4	s__(g__Flavobacterium) 64.0%, s__Pseudomonas fluorescens 20.0%, s__Pseudomonas moraviensis 12.0%, s__Pseudomonas koreensis 4.0%
s__Mycoplasmoides gallisepticum	24	1	s__Mycoplasma gallisepticum 100.0%
s__Dehalococcoides mccartyi_B	24	1	s__Dehalococcoides mccartyi 100.0%
s__Clostridium_Q sp003024715	24	1	s__(g__Flavobacterium) 100.0%
s__UBA4871 sp002119605	24	1	s__(g__Flavobacterium) 100.0%
s__Bog-375 sp003142185	24	1	s__(g__Flavobacterium) 100.0%
s__QS-4-48-99 sp003021505	24	1	s__(g__Flavobacterium) 100.0%
s__Mesorhizobium sp004791585	24	1	s__(g__Flavobacterium) 100.0%
s__Helicobacter pylori_CG	24	1	s__Helicobacter pylori 100.0%
s__Photobacterium kishitanii	24	2	s__Photobacterium kishitanii 95.83%, s__Photobacterium phosphoreum 4.17%
s__Staphylococcus arlettae	24	2	s__Staphylococcus arlettae 95.83%, s__(g__Flavobacterium) 4.17%
s__Hafnia alvei	24	2	s__Hafnia alvei 95.83%, s__(g__Flavobacterium) 4.17%
s__Serratia marcescens_B	24	2	s__Serratia marcescens 91.67%, s__(g__Flavobacterium) 8.33%
s__Atlantibacter hermannii	24	2	s__(g__Flavobacterium) 83.33%, s__Atlantibacter hermannii 16.67%
s__Ochrobactrum anthropi	24	3	s__Ochrobactrum anthropi 79.17%, s__(g__Flavobacterium) 16.67%, s__Ochrobactrum lupini 4.17%
s__Vibrio crassostreae_C	24	2	s__(g__Flavobacterium) 79.17%, s__Vibrio crassostreae 20.83%
s__Staphylococcus urealyticus	24	2	s__Staphylococcus cohnii 75.0%, s__(g__Flavobacterium) 25.0%
s__Comamonas acidovorans	24	2	s__Delftia acidovorans 54.17%, s__(g__Flavobacterium) 45.83%
s__Pseudomonas_E veronii	24	3	s__(g__Flavobacterium) 50.0%, s__Pseudomonas veronii 45.83%, s__Pseudomonas panacis 4.17%
s__Metamycoplasma hominis	23	1	s__Mycoplasma hominis 100.0%
s__Helicobacter_E felis	23	1	s__Helicobacter felis 100.0%
s__Bog-209 sp003162935	23	1	s__(g__Flavobacterium) 100.0%
s__Staphylococcus gallinarum	23	2	s__Staphylococcus gallinarum 95.65%, s__Staphylococcus petrasii 4.35%
s__Pseudomonas_E lundensis	23	2	s__Pseudomonas lundensis 91.3%, s__(g__Flavobacterium) 8.7%
s__Bacteroides fragilis_A	23	2	s__Bacteroides fragilis 91.3%, s__(g__Flavobacterium) 8.7%
s__Vibrio jasicida	23	3	s__Vibrio jasicida 73.91%, s__Vibrio harveyi 13.04%, s__(g__Flavobacterium) 13.04%
