GTDB R95 species	Number of genomes	Number of NCBI species	List of NCBI species
s__Serratia nematodiphila	68	3	s__Serratia marcescens 92.65%, s__Serratia nematodiphila 4.41%, s__(g__Flavobacterium) 2.94%
s__Agrobacterium pusense	68	4	s__(g__Flavobacterium) 80.88%, s__Rhizobium pusense 13.24%, s__Agrobacterium tumefaciens 4.41%, s__Bradyrhizobium lupini 1.47%
s__Elizabethkingia anophelis	67	2	s__Elizabethkingia anophelis 97.01%, s__Elizabethkingia meningoseptica 2.99%
s__Acinetobacter radioresistens	67	2	s__Acinetobacter radioresistens 70.15%, s__(g__Flavobacterium) 29.85%
s__Pseudomonas_E hunanensis	67	5	s__Pseudomonas putida 67.16%, s__(g__Flavobacterium) 25.37%, s__Pseudomonas monteilii 4.48%, s__Pseudomonas hunanensis 1.49%, s__Pseudomonas plecoglossicida 1.49%
s__Bifidobacterium globosum	66	2	s__Bifidobacterium pseudolongum 96.97%, s__(g__Flavobacterium) 3.03%
s__Bacteroides ovatus	66	3	s__Bacteroides ovatus 86.36%, s__(g__Flavobacterium) 12.12%, s__Bacteroides fragilis 1.52%
s__Streptomyces albidoflavus	66	7	s__Streptomyces albidoflavus 51.52%, s__(g__Flavobacterium) 34.85%, s__Streptomyces griseus 6.06%, s__Streptomyces sampsonii 3.03%, s__Streptomyces wadayamensis 1.52%, s__Streptomyces albus 1.52%, s__Streptomyces koyangensis 1.52%
s__Haemophilus influenzae_D	65	1	s__Haemophilus influenzae 100.0%
s__Levilactobacillus brevis	65	1	s__Lactobacillus brevis 100.0%
s__Bacillus altitudinis	65	5	s__Bacillus altitudinis 46.15%, s__(g__Flavobacterium) 26.15%, s__Bacillus stratosphericus 12.31%, s__Bacillus pumilus 12.31%, s__Bacillus aerophilus 3.08%
s__Chlamydophila psittaci	64	1	s__Chlamydia psittaci 100.0%
s__Campylobacter_D coli_A	64	1	s__Campylobacter coli 100.0%
s__Limosilactobacillus fermentum	64	2	s__Lactobacillus fermentum 98.44%, s__(g__Flavobacterium) 1.56%
s__Citrobacter braakii	64	5	s__Citrobacter braakii 46.88%, s__Citrobacter freundii 32.81%, s__(g__Flavobacterium) 17.19%, s__Citrobacter amalonaticus 1.56%, s__Escherichia coli 1.56%
s__Salmonella arizonae	63	1	s__Salmonella enterica 100.0%
s__Mesorhizobium sp002294985	63	1	s__(g__Flavobacterium) 100.0%
s__Raoultella ornithinolytica	63	6	s__Raoultella ornithinolytica 88.89%, s__Raoultella planticola 4.76%, s__Klebsiella pneumoniae 1.59%, s__Klebsiella oxytoca 1.59%, s__(g__Flavobacterium) 1.59%, s__Klebsiella aerogenes 1.59%
s__Mesorhizobium wenxiniae	62	3	s__(g__Flavobacterium) 96.77%, s__Mesorhizobium ciceri 1.61%, s__Mesorhizobium wenxiniae 1.61%
s__Mycobacterium chelonae	62	3	s__Mycobacteroides chelonae 74.19%, s__(g__Flavobacterium) 24.19%, s__Mycolicibacterium phlei 1.61%
s__Enterobacter cloacae_M	62	3	s__Enterobacter asburiae 61.29%, s__Enterobacter cloacae 35.48%, s__(g__Flavobacterium) 3.23%
