GTDB R95 order	Number of genomes	Number of NCBI orders	List of NCBI orders	
o__UBA101185	74	1	o__(c__Tissierellia) 100.0%	
o__Desulfotomaculales	74	3	o__Clostridiales(c__Clostridia) 81.08%, o__(c__Tissierellia) 17.57%, o__Thermoanaerobacterales(c__Clostridia) 1.35%	
o__Magasanikbacterales	73	1	o__(c__Tissierellia) 100.0%	
o__Puniceispirillales	72	2	o__(c__Tissierellia) 91.67%, o__Rhodospirillales 8.33%	
o__Petrotogales	71	4	o__Kosmotogales 43.66%, o__Petrotogales 39.44%, o__Thermotogales 15.49%, o__(c__Tissierellia) 1.41%	Thermotogae
o__Vicinamibacterales	69	3	o__(c__Tissierellia) 97.1%, o__Chromatiales(c__Gammaproteobacteria) 1.45%, o__Acidobacteriales(c__Acidobacteriia) 1.45%	
o__Micavibrionales	69	3	o__(c__Tissierellia) 88.41%, o__Rhodospirillales 10.14%, o__Rickettsiales 1.45%	-
o__UBA10353	68	4	o__(c__Tissierellia) 77.94%, o__Acidiferrobacterales 19.12%, o__Acidithiobacillales(c__Acidithiobacillia) 1.47%, o__Arenicellales 1.47%	
o__UBA7541	66	1	o__(c__Tissierellia) 100.0%	
o__Acetivibrionales	66	2	o__Clostridiales 98.48%, o__(c__Tissierellia) 1.52%	
o__Sphaerochaetales	65	2	o__Spirochaetales 95.38%, o__(c__Tissierellia) 4.62%	
o__Rhodothermales	64	3	o__Bacteroidetes Order II. Incertae sedis(c__) 54.69%, o__(c__Tissierellia) 32.81%, o__Rhodothermales 12.5%	
o__BM507	63	1	o__(c__Tissierellia) 100.0%	
o__UBA10030	63	1	o__(c__Tissierellia) 100.0%	
o__Desulfuromonadales	63	3	o__Desulfuromonadales(c__Deltaproteobacteria) 88.89%, o__(c__Tissierellia) 7.94%, o__Desulfobacterales(c__Deltaproteobacteria) 3.17%	
o__RF32	63	4	o__(c__Tissierellia) 57.14%, o__Rhodospirillales 38.1%, o__Rickettsiales 3.17%, o__Lactobacillales(c__Bacilli) 1.59%	
o__2-02-FULL-40-12	62	1	o__(c__Tissierellia) 100.0%	
o__Azospirillales	62	3	o__Rhodospirillales 96.77%, o__(c__Tissierellia) 1.61%, o__Corynebacteriales(c__Actinobacteria) 1.61%	
o__Izemoplasmatales	62	3	o__(c__Tissierellia) 83.87%, o__Bacillales 14.52%, o__Acholeplasmatales(c__Mollicutes) 1.61%	
o__Geobacterales	61	1	o__Desulfuromonadales(c__Deltaproteobacteria) 100.0%	
o__Levybacterales	61	1	o__(c__Tissierellia) 100.0%	
o__Bdellovibrionales	61	2	o__Bdellovibrionales(c__Oligoflexia) 98.36%, o__(c__Tissierellia) 1.64%	
o__CSP1-4	60	2	o__(c__Tissierellia) 98.33%, o__Thermomicrobiales(c__Thermomicrobia) 1.67%	
o__Steroidobacterales	60	3	o__(c__Tissierellia) 93.33%, o__Nevskiales 5.0%, o__Xanthomonadales 1.67%	
o__Rokubacteriales	58	1	o__(c__Tissierellia) 100.0%	
o__Ignavibacteriales	58	2	o__(c__Tissierellia) 62.07%, o__Ignavibacteriales 37.93%	
o__Parachlamydiales	58	3	o__Parachlamydiales 53.45%, o__(c__Tissierellia) 41.38%, o__Chlamydiales 5.17%	
o__Desulfitobacteriales	57	1	o__Clostridiales(c__Clostridia) 100.0%	
o__WO2-41-13	57	1	o__(c__Tissierellia) 100.0%	
o__UBP12	57	1	o__(c__Tissierellia) 100.0%	
o__SAR202	55	1	o__(c__Tissierellia) 100.0%	
o__Elusimicrobiales	55	2	o__(c__Tissierellia) 89.09%, o__Elusimicrobiales 10.91%	
o__Parvibaculales	55	2	o__Rhizobiales 85.45%, o__(c__Tissierellia) 14.55%	
o__Peribacterales	55	2	o__(c__Tissierellia) 78.18%, o__Candidatus Peribacterales(c__Candidatus Peribacteria) 21.82%	
o__Solirubrobacterales	55	3	o__Solirubrobacterales 63.64%, o__(c__Tissierellia) 34.55%, o__Thermoleophilales 1.82%	
o__Saccharofermentanales	52	1	o__Clostridiales 100.0%	
o__Syntrophomonadales	52	2	o__Clostridiales(c__Clostridia) 98.08%, o__(c__Tissierellia) 1.92%	
o__Nitriliruptorales	52	2	o__Nitriliruptorales(c__Nitriliruptoria) 98.08%, o__Egicoccales(c__Nitriliruptoria) 1.92%	
o__SAR324	51	1	o__(c__Tissierellia) 100.0%	
o__RFP12	51	2	o__(c__Tissierellia) 96.08%, o__Lentisphaerales(c__Lentisphaeria) 3.92%	
o__Thiomicrospirales	50	1	o__Thiotrichales 100.0%	
o__UBA3495	50	1	o__(c__Tissierellia) 100.0%	
o__Gaiellales	50	2	o__(c__Tissierellia) 98.0%, o__Gaiellales(c__Rubrobacteria) 2.0%	
o__UBA1151	49	1	o__(c__Tissierellia) 100.0%	
o__Mariprofundales	49	2	o__(c__Tissierellia) 73.47%, o__Mariprofundales 26.53%	
o__Cloacimonadales	48	1	o__(c__Tissierellia) 100.0%	
o__UBA8260	46	1	o__(c__Tissierellia) 100.0%	
o__Nevskiales	45	4	o__Nevskiales 57.78%, o__Salinisphaerales 35.56%, o__Chromatiales 4.44%, o__Xanthomonadales 2.22%	
o__UBA1369	44	1	o__(c__Tissierellia) 100.0%	
o__Thermoanaerobacterales	44	2	o__Thermoanaerobacterales(c__Clostridia) 97.73%, o__Clostridiales(c__Clostridia) 2.27%	
o__Polyangiales	44	2	o__Myxococcales(c__Deltaproteobacteria) 88.64%, o__(c__Tissierellia) 11.36%	
o__Daviesbacterales	42	1	o__(c__Tissierellia) 100.0%	
